objectid,filename,title,date,description,subject,location,latitude,longitude,type,format,language,rights,rightsstatement
coll001,file1.jpg,Children's height chart ,2010,Photograph of a height chart on a door jamb,fixed artifact;writing;kitchen;door;door jamb;pencil;marker;english;on surface of;wood;painted,"Guelph, Ontario","43.53330157370188, -80.2591607",-80.2591607,Image;StillImage,image/jpeg,eng,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/
coll002,file2.jpg,Celsius to farenheit conversion ,2010,Celsius to farenheit conversion written inside a cupboard door ,fixed artifact;writing;kitchen;marker;words and numbers;cupboard;wood;owner;occupant,"Guelph, Ontario","43.53330157370188, -80.2591607",-80.2591607,Image;StillImage,image/jpeg,eng,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/
coll003,file3.jpg,Letters etched in brick,,Photograph of a close up brick wall with initials carved in bricks,fixed artifact;etching;letter(s);outside location;outside wall;yellow brick,"Guelph, Ontario","43.53330157370188, -80.2591607",-80.2591607,Image;StillImage,image/jpeg,eng,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/
coll004,file4.jpg,Initials W.L. etched in brick,,Photograph of a close up brick wall with initials carved in bricks,fixed artifact;etching;initial(s);outside location;outside wall;yellow brick,"Guelph, Ontario","43.53330157370188, -80.2591607",-80.2591607,Image;StillImage,image/jpeg,eng,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/
coll005,file5.jpg,Initials R.T. etched in brick,c. 1908-1917,Photograph of a close up brick wall with initials carved in bricks. The initial RT may belong to a Roy Trimble who the son of James Trimble who lived in the house from at least 1908 to 1917.,"fixed artifact;etching,;nitial(s);outside location;outside wall;yellow brick","Guelph, Ontario","43.53330157370188, -80.2591607",-80.2591607,Image;StillImage,image/jpeg,eng,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/
coll006,file6.jpg,Initials E.C. etched in brick ,,Photograph of a close up brick wall with initials carved in bricks,fixed artifact;etching;initial(s);outside location;outside wall;yellow brick,"Guelph, Ontario","43.53330157370188, -80.2591607",-80.2591607,Image;StillImage,image/jpeg,eng,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/
coll007,file7.jpg,Initials R.T. deeply etched in brick,c. 1908-1917,Photograph of a close up brick wall with initials carved in bricks. The initial RT may belong to a Roy Trimble who the son of James Trimble who lived in the house from at least 1908 to 1917.,fixed artifact;etching;initial(s);outside location;outside wall;yellow brick,"Guelph, Ontario","43.53330157370188, -80.2591607",-80.2591607,Image;StillImage,image/jpeg,eng,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/
coll008,file8.jpg,Letters etched in brick,,Photograph of a close up brick wall with letters carved in bricks,fixed artifact;etching;letter(s);outside location;outside wall;yellow brick,"Guelph, Ontario","43.53330157370188, -80.2591607",-80.2591607,Image;StillImage,image/jpeg,eng,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/
coll009,file9.jpg,Letters etched in brick,,Photograph of a close up brick wall with letters carved in bricks,fixed artifact;etching;letter(s);outside location;outside wall;yellow brick,"Guelph, Ontario","43.53330157370188, -80.2591607",-80.2591607,Image;StillImage,image/jpeg,eng,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/
coll010,file10.jpg,Letters etched in brick,,Photograph of a close up brick wall with letters carved in bricks,fixed artifact;etching;letter(s);outside location;outside wall;yellow brick,"Guelph, Ontario","43.53330157370188, -80.2591607",-80.2591607,Image;StillImage,image/jpeg,eng,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/
